"A01","ADT/ACK - Admit/visit notification"
"Q05","UDM/ACK - Unsolicited display update message"
"Q06","OSQ/OSR - Query for order status"
"Q07","VQQ - Virtual table query"
"Q08","SPQ - Stored procedure request"
"Q09","RQQ - event replay query"
"Q11","QBP - Query by parameter requesting an RSP segment pattern response"
"Q13","QBP - Query by parameter requesting an  RTB - tabular response"
"Q15","QBP - Query by parameter requesting an RDY display response"
"Q16","QSB - Create subscription"
"Q17","QVR - Query for previous events"
"Q21","QBP - Get person demographics"
"Q22","QBP - Find candidates"
"Q23","QBP - Get corresponding identifiers"
"Q24","QBP - Allocate identifiers"
"Q25","QBP - Personnel Information by Segment Query"
"Q26","ROR - Pharmacy/treatment order response"
"Q27","RAR - Pharmacy/treatment administration information"
"Q28","RDR - Pharmacy/treatment dispense information"
"Q29","RER - Pharmacy/treatment encoded order information"
"Q30","RGR - Pharmacy/treatment dose information"
"Q31","DBP - Dispense History"
"R01","ORU/ACK - Unsolicited transmission of an observation message"
"R02","QRY - Query for results of observation"
"R04","ORF - Response to query; transmission of requested observation"
"R07","EDR - Enhanced Display Response"
"R08","TBR - Tabular Data Response"
"R09","ERP - Event Replay Response"
"R21","OUL - Unsolicited laboratory observation"
"R22","OUL - Unsolicited Specimen Oriented Observation Message"
"R23","OUL - Unsolicited Specimen Container Oriented Observation Message"
"R24","OUL - Unsolicited Order Oriented Observation Message"
"R30","ORU - Unsolicited Point-Of-Care Observation Message Without Existing Order - Pla"
"R31","ORU - Unsolicited New Point-Of-Care Observation Message - Search For An Order"
"R32","ORU - Unsolicited Pre-Ordered Point-Of-Care Observation"
"RAR","Pharmacy/Treatment Administration Information"
"RDR","Pharmacy/treatment Dispense Information"
"RER","Pharmacy/Treatment Encoded Order Information"
"RGR","Pharmacy/Treatment Dose Information"
"ROR","ROR - Pharmacy prescription order query response"
"S01","SRM/SRR - Request new appointment booking"
"S02","SRM/SRR - Request appointment rescheduling"
"S03","SRM/SRR - Request appointment modification"
"S04","SRM/SRR - Request appointment cancellation"
"S05","SRM/SRR - Request appointment discontinuation"
"S06","SRM/SRR - Request appointment deletion"
"S07","SRM/SRR - Request addition of service/resource on appointment"
"S08","SRM/SRR - Request modification of service/resource on appointment"
"S09","SRM/SRR - Request cancellation of service/resource on appointment"
"S10","SRM/SRR - Request discontinuation of service/resource on appointment"
"S11","SRM/SRR - Request deletion of service/resource on appointment"
"S12","SIU/ACK - Notification of new appointment booking"
"S13","SIU/ACK - Notification of appointment rescheduling"
"S14","SIU/ACK - Notification of appointment modification"
"S15","SIU/ACK - Notification of appointment cancellation"
"S16","SIU/ACK - Notification of appointment discontinuation"
"S17","SIU/ACK - Notification of appointment deletion"
"S18","SIU/ACK - Notification of addition of service/resource on appointment"
"S19","SIU/ACK - Notification of modification of service/resource on appointment"
"S20","SIU/ACK - Notification of cancellation of service/resource on appointment"
"S21","SIU/ACK - Notification of discontinuation of service/resource on appointment"
"S22","SIU/ACK - Notification of deletion of service/resource on appointment"
"S23","SIU/ACK - Notification of blocked schedule time slot(s)"
"S24","SIU/ACK - Notification of opened (âunblockedâ) schedule time slot(s)"
"S25","SQM/SQR - Schedule query message and response"
"S26","SIU/ACK Notification that patient did not show up for schedule appointment"
"T01","MDM/ACK - Original document notification"
"T02","MDM/ACK - Original document notification and content"
"T03","MDM/ACK - Document status change notification"
"T04","MDM/ACK - Document status change notification and content"
"T05","MDM/ACK - Document addendum notification"
"T06","MDM/ACK - Document addendum notification and content"
"T07","MDM/ACK - Document edit notification"
"T08","MDM/ACK - Document edit notification and content"
"T09","MDM/ACK - Document replacement notification"
"T10","MDM/ACK - Document replacement notification and content"
"T11","MDM/ACK - Document cancel notification"
"T12","QRY/DOC - Document query"
"U01","ESU/ACK - Automated equipment status update"
"U02","ESR/ACK - Automated equipment status request"
"U03","SSU/ACK - Specimen status update"
"U04","SSR/ACK - specimen status request"
"U05","INU/ACK  - Automated equipment inventory update"
"U06","INR/ACK - Automated equipment inventory request"
"U07","EAC/ACK - Automated equipment command"
"U08","EAR/ACK - Automated equipment response"
"U09","EAN/ACK - Automated equipment notification"
"U10","TCU/ACK - Automated equipment test code settings update"
"U11","TCR/ACK - Automated equipment test code settings request"
"U12","LSU/ACK - Automated equipment log/service update"
"U13","LSR/ACK - Automated equipment log/service request"
"V01","VXQ - Query for vaccination record"
"V02","VXX - Response to vaccination query returning multiple PID matches"
"V03","VXR - Vaccination record response"
"V04","VXU - Unsolicited vaccination record update"
"Z73","Information about Phone Calls"
"Z74","Information about Phone Calls (Response)"
"Z75","Tabular Patient List"
"Z76","Tabular Patient List (Response)"
"Z77","Tabular Patient List"
"Z78","Tabular Patient List (Response)"
"Z79","Dispense Information"
"Z80","Dispense Information (Response)"
"Z81","Dispense History"
"Z82","Dispense History (Response)"
"Z83","ORU Subscription"
"Z84","Who Am I (Response)"
"Z85","Pharmacy Information Comprehensive"
"Z86","Pharmacy Information Comprehensive (Response)"
"Z87","Dispense Information"
"Z88","Dispense Information (Response)"
"Z89","Lab Results History"
"Z90","Lab Results History (Response)"
"Z91","Who Am I"
"Z92","Who Am I (Response)"
"Z93","Tabular Dispense History"
"Z94","Tabular Dispense History (Response)"
"Z95","Tabular Dispense History"
"Z96","Tabular Dispense History (Response)"
"Z97","Dispense History"
"Z98","Dispense History (Response)"
"Z99","Who Am I"
